 "s" , "p" , "o" ,
 "https://w3id.org/artchives/marilena-dot-daquino2-at-unibo-dot-it" , "http://www.w3.org/2000/01/rdf-schema#label" , "marilena.daquino2@unibo.it" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P170" , "http://www.wikidata.org/entity/Q19997512" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "https://w3id.org/artchives/hasAccessConditions" , "restricted" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q1089074" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q166118" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q2044" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q2943" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q50641" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q580807" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q1400853" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q3147735" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q41493" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q9134" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q2858468" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q5669" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q1278452" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q25631150" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q4692" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q7018" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q7034" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q1273" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q1332178" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q13373" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q13378" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q191423" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q537874" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q555132" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q610687" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q7017" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q945313" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q2013867" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q2309545" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q2311437" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q2525549" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q2593098" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q3657674" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q5233838" ,
 "https://w3id.org/artchives/collectionfototeca-fahy" , "http://www.wikidata.org/wiki/Property:P921" , "http://www.wikidata.org/entity/Q526637" ,
